Query,Response
"What does Section 14 of Code of Criminal Procedure, 1898 (Special Judicial) deal with?","(1) The Provincial Government may, on the recommendation of the High Court, confer upon any person including a former Executive Magistrate all or any of the powers, conferred, or conferrable by or under this Code on a judicial Magistrate in respect to particular cases or to a particular class or particu lar classes of cases, or in regard to cases generally in any local area. Words ins. by Ordinance, XXXVII of 2001, dt.l3-8-2001. (2) Such Magistrates shall be called S pecial Judicial Magistrates and shall be appointed for such term as the Provincial Gove rnment may, in consultation with the High Court, by general or special order, direct. Sec. 14 substituted by Item No.6 Punjab Notification No. SO(J-II) 1-8/75 (P-V), dated 21.3.1996 for Punjab and by same Item No. of Islamabad Notifica tion No. S.R.O. 255(1)96, dated 8.4.1996 for Islamabad only."
"What is Section 15 of Chapter II of Code of Criminal Procedure, 1898 (Benches of Magistrates) about?","(1) The Provincial Government may direct any two or more 9[judicial Magistrates] in any place to sit t ogether as a Bench, an may by order invest such Bench with any of the powers conferred. or conferable by or under this Code on a Magi strate of First, Second or Third Class, and direct it to exercise such powers in such cases. or, such classes only, and within such local limits, as the Provin cial Government thinks fit. (2) Powers exercisable by Bench in absence of special direction: Except as otherwise provided by any order under this se ction, every such Bench shall have the powers conferred by this Code on a Magistrate of the highest class to which any one of its members, who is present taking part in t he proceedings as a mem ber of the Bench, belongs, and as far as practicable shall, for the purposes of this code, be deemed to be a Magistrate of such class."
"Could you describe the contents of Section 16 from Code of Criminal Procedure, 1899 (Power to frame rules for guidance of Benches)?","The Provincial Government, may, from time to time make rules consistent with this Code for the guidance of Magistrate, Benches in any district respecting the following subjects:- (a) the classes of cases to be tried; (b) the times and places of sitting; (c) the constitution of the Bench for conducting. Trials;; (d) the mode of settling differences of opinion which may arise between the Magistrates in session."
"What is Section 17 of Chapter II of Code of Criminal Procedure, 1898 (Subordination of Magistrates and Benches to Sessions Judge) about?","(1) all Magistrates appointed under section 12, 13 and 14 and all Benc hes constituted under section 15, shall be subordinate to the Sessions Judge and he may, from time to time, make rules or give special orders consistent with this Code and any rules framed by the provincial government under Section 16, as to the distribution of bus iness among such Magistrates and Benches. (2) All Executive Magistrates appointed under sections 13 and 14 shall be Subordinate to the distri ct Magistrate and he may, from time to time, make rules or give social orders consistent with this Code and any rules framed by the Provincial Government under section 16 as to the distri bution of business among such Magistrates. (2-A) Every Executive Magistrate (other than a Sub-Divisional Magistrate) in a sub- division shall also be subordinat e to the Sub-Divisional Magist rate, subject, however to the general control of the District Magistrate. Sub-sections (1) and (2) subs. by Item No.9(I) of Punjab Notification No.SO(J-II) 1-8/75 ((P-V), dated 21.3.1996 for Punjab and by same item No. of Isla mabad Notification No.S.R.O. 255(I)/96, dated 8.4.1996 for Islamabad only. (3) Subordination of Assistant Sessi ons Judges to Sessions Judge: All Assistant Sessions Judges shall be subordinate to the Sessions Judge in whose Court they exercise jurisdiction, and he may, from time to time, make rules consistent with this code as to the distribution of business among such Assistant Sessions Judges. (4) The Sessions Judge; may, also when he hi mself is unavoidably absent or incapable of acting, make provision for the disposal of any urgent application by an additional or Assistant Sessions Judge and such judge shall have jurisdiction to deal with any such application. (5) [Omitted by the Ordinanc e, XXXVII of 2001, dt: 13.8.2001]. D------Courts of Pres idency Magistrates. 18 to 21: Appointment of Presidency Magistra tes, Benches, Local limites of jurisdiction, Chief Presidency Magist rate: [Omitted by A.O., 1949, Sched.] E.----Justices of the Peace"
"Section 22 of Chapter II in Code of Criminal Procedure, 1898 (Justice of the peace for the mufassil): What does it say?","Provincial Government, so far as regards the territories subject to its Admi nistration, may by notification in the official Gazette, appoint such persons resident within Pakistan and not bei ng the subjects of an foreign State as it thinks fit to be Justices of the peace within and for the local area mentioned in such notification. PUNJAB AMENDMENTS"
"What is Section 22 of Chapter II of Code of Criminal Procedure, 1898 (Appointment of Justices of the Peace) about?","The Provincial Government may, by notification in the official Gazette, appoint for such period as may be 'specified in the notification, and subject to such' rules as may be made-by it any person who is a citizen of Pakistan and as to whose inte grity and suitability it satisfied to be a justice of the peace for a local area to be specifie d in the notification, and more than one Justice of the Peace may be appointed for the same local area. 22-A. Powers of Justices of the Peace: A Justice on the Peace for any local area shall, for the purpose of making an arrest have within such area all the power s of a police officer referred to in section 54 and an officer-in-charge of a police station referred to in section"
"Could you describe the contents of Section 22 from Code of Criminal Procedure, 1898 ( A Justice of the Peace making an arrest in exercise of any powers under sub-)?","section (1) shall, forthwith, take or cause to be taken the person arrested before the officer incharge of the nearest police st ation and furnish such offi cer with a report as to the circumstances of the arrest and such o fficer shall thereupon re-arrest the person. (3) A Justice of the Peace for any local area shall have powers, within such area, to call upon any member of the po lice force on duty to aid him. a) in taking or preventing the escape of any person who has participated in the commission of any cognizable offence or against whom a reasonable complaint has been made or credible information has been received or a reasonable suspicion exists of hi s having so participated; and b) in the prevention of crim e in general and, in particular, in the prevention of a breach of the peace or a disturba nce of the public tranquillity. (4) Where a member of the police force on duty has been called upon to render and aid under sub-section (3), such call shall be deemed to have been made by a competent authority. (5) A Justice of the Peace for any local area may, in accor dance with such rules as may be made by the Provincial Government,-- a) issue a certificate as to the identity of any person residing within such area, or b) verify any document brought before him by any such person, or c) attest any such document required by or under any law fo r the time being in force to be attested by a Magistrate, and until the contrary is proved, any certificate so issued shall be presum ed to be correct and any document so verified shall be deemed to be duly veri fied, and any document so attested shall be deemed to have be en as fully attested as if he had been a Magistrate. 22-B. Duties of Justices of the Peace: - Subject to such rules as may be made by the Provincial Government, every Justice of the Peace for any local area shall:-- a) on receipt of information of the occurr ence of any incident involving a breach of the peace, or of the commission of any offence within such local area, forthwith make inquiries into the matter and report in writing the result of his inquiries to the nearest Magistrate and to officer incharge of the nearest Police Station; b) if the offence referred to in clause (a ) is a cognizable offence, also prevent the removal of anything from, or the in terference in any way with, the place of occurrence of the offence; c) when so required in writing by a polic e officer making an investigation under Chapter XIV in respect of any offence committed within such local area,-- i) render all assistance to the police officer in making such an investigation; ii) record any statement made under expectation of death by a person in respect of whom a crime is believed to have been committed."
"What is Section 25 of Chapter II of Code of Criminal Procedure, 1899 (Ex-Officio Justices of the Peace) about?","In virtue of their respective officers, the judges of the High Court are Justices of the Peace within and for whole of Pakistan, Sessions Judges 17[***] are Justices of the Peace within and for the whole of the territories administered by the Provincial Government under which they are serving."
"Section 28 of Chapter III in Code of Criminal Procedure, 1898 (Offences under Penal Code): What does it say?","Subject to the other provisions of this Code any offence under the Pakistan Penal Code may be tried-- (a) by the High Court, or (b) by the Court of Session, or by any other Court by which such offence is shown in the eighth column of the Second Schedule to be triable. Proviso: [Omitted by the Ordinance, XXXVII of 2001, dt. 13-8-2001.] 29. Offences under other laws: (1) Subject to the other pr ovisions of this Code, any offence under any other law shall, when any Court is mentioned in this behalf in such law, be tried by such Court. (2) When no Court is so mentioned, it ma y be tried by the Hi gh Court or subject as aforesaid by any Court constituted under th is Code by which such offence is shown in the eighth column of the Se cond Schedule to be triable. Proviso: [Omitted by the Ordi nance, XXXVII of 2001, dt. 13-8-2001.] 29-A [Omitted by (Act II of 1950).] 29-B. Jurisdiction in the cases of juveniles: Any offence, other than one punishable with death or imprisonment for life, committed by any person who at the date when he appears or is brought before a Court is under t he age of fifteen years, may be tried by any Judicial Magistrate specially empowered by t he Provincial Government to exercise the powers conferred by Section 8, sub-section (1 ) of the Reformatory School Act, 1897, or, in any area in which the said Act is not applicable, by any other law providing for the custody, trial or punishment of youthful o ffenders, by any Magistrate empowered by or under such law to exercise all or any of the powers conferred thereby. Section 29-B subs. by Item No.12 of Punjab Notification No.SO(J-II) 1-8/75(P.V), dated 21.3.1996 for Punjab and by same Item No. of Islamabad Noti fication No.S.R.O. 255(I)/96, dated 8.4.1996 for Islamabad only. [30. Offences not punishable with death : Notwithstanding anything contained in Sections 28 and 29, the Provincial Government may invest any Magistrate of the First Class with power to try as a Magistrate all offences not punishable with death.] Sec. 30 subs. by ordinance, XXXVII of 2001, dt: 13.8.2001. B.---Sentences which may be passed by Courts of various Classes."
"Can you explain Section 31 of Chapter III of Code of Criminal Procedure, 1898 (Sentences which High Court and Sessions Judges may pass)?","(1) High Court may pass any sentences Authorised by law. (2) A Sessions Judge or Additional Sessions Judge may pass any sentence authorised by law; but any s entence of death passed by any such Judge shall be subject to confirmation by the High Court. (3) An Assistant Session Judge may pass any sentence authorised by law, except a sentence of death or of imprisonment for a term exceeding seven years."
"Can you explain Section 32 of Chapter III of Code of Criminal Procedure, 1898 (Sentences which Magistrates may pass)?","(1) The Courts of Magistrates may pass the following sentences namely:- a) Courts of Magistrates of the First Class; Imprisonment for a term not exceeding three years including such solitary confinement as is authorized by law; Fine not exceeding forty five thousand rupees; arsh: daman whipping b) Courts of Magistrates of the Second class; Imprisonment for a term not exceeding one year including such solitary confinement as is authorised by law; Fine not exceeding fifteen thousand rupees; c) Courts of Magistrates of the Third Class; Imprisonment for a term not exceeding one month; Fine not exceeding three thousand rupees. (2) The Court of any Magistrate may pass any lawful sentence, combining any of the sentence which it is authorised by law to pass. (3) Whipping (if specially empowered): [Rep. by the Whipping Act (IV 1909), Section 8 & Sched,] 33. Power of Magistrates to sentence to imprisonment in default of fine:- (1) The Court of any Magistrate may award such terms of imprisonment in def ault of payment of fine as is authorised by law in case of such default: Proviso as to certain cases :- Provided that (a) the term is not excess of the Magistrates powers under this Code; (b) in any case decided by a Magistrate where imprisonment has been awarded as part of the substantive sentence, the period of imprisonment awarded in default of payment of the fine shall not exceed one-f orth of the period of imprisonment which such Magistrate is competent to inflict as punishment for the offence otherwise than as impris onment in default of payment of the fine. (2) .The imprisonment awarded under this se ction may be in addition to a substantive sentence of imprisonment for the maximum term awarded by the Magistrate under Section 32."
"Section 34 of Chapter III in Code of Criminal Procedure, 1898 (Higher powers of certain): What does it say?","The court of a Magistrate, specially empowered under Section 30, may pass any sentence authorized by law, except a sent ence of death or of imprisonment for a term exceeding seven years. 34-A. Sentence which courts and Magistra tes may pass upon European British subjects: [omitted by the Criminal law (E xtinction of Discriminatory Pr ivileges) Act, 1949(II of 1950), Sched."
"Section 35 of Chapter III in Code of Criminal Procedure, 1898 (Sentence in case of conviction of several offences at one trial): What does it say?","- (1) When a person is convicted at one trial of two or more offences, t he Court may, subject to the provisions of section 71 of Pa kistan Penal Code sentence him, for such offences, to the several punishments prescribed therefore which such court is com"
"Could you describe the contents of Section 36 from Code of Criminal Procedure, 1898 (Ordinary Powers of Magistrates)?","All Magistrate have the powers hereinafter respectively conferred upon them and specified in the Third Schedule. Such powers are called ""their ordinary powers"". 37. Additional powers c onferrable on Magistrates: On the recommendations of the High Court, the Provincial Government may, in addition to the ordinary powers, invest any Magistrate with any powers spec ified in the Fourth Schedule. Subs. by Ordinance, XXXVII of 2001, dt. 13-8-2001."
"Section 38 of Chapter III in Code of Criminal Procedure, 1898 (Control of District Magistrate's in venting power): What does it say?","[Omitted by Ordinance, XXXVII of 2001- dt. 13-8-2001.] D.Conferment, Continuance an d Cancellation of Powers"
"Please explain Section 39 of Chapter III of Code of Criminal Procedure, 1898 (Mode of conferring powers).","(1) In conferring powers under this Code the Provincial Government may by order empower persons s pecially by name, or in virtue of their office or classes or officials gen erally by their official titles., (2) Every such order shall take effect from the date on which it is communicated to the person so empowered."
"What is stated in Section 40 of Chapter III of Code of Criminal Procedure, 1899 (Powers of officers appointed)?","Whenever any person holding an office in the service of Government who has been invested with any powers; under this Code throughout any local area is appointed to an equal or higher office, of the same, nature, within a like local area under the same Provincial Government, he shall, unless the Provincial Government otherwise directs, or has otherwise directed, exercise the same powers in the local area in which he is so appointed."
"What is stated in Section 41 of Chapter III of Code of Criminal Procedure, 1900 (Withdrawal of Powers)?","The Provincial Government may on the recommendations of the High Court, withdraw all or any power conferred by it under this Code on any person or Magistrate."
"What does Section 42 of Code of Criminal Procedure, 1898 (Public when to assist Magistrates and Police) deal with?","Every person is bound to assist a Magistrate [Justice of the Peace] or police officer reasonably demanding his aid,-- (a) in the taking or preventi ng the escape of any other pers on whom such Magistrate; or police officer is authorized to arrest; (b) in the prevention or suppression of a breach of the peace, or in the-prevention of any injury attempted to be commi tted to any railway, canal, telegraph or public property. [Words inserted by Item No. 21 of Punj ab Notification No. SO (J-ll) 1-8/75 (P.V.), dated 21-3-1996 for Punjab and by same Item No. of Islamabad Noti fication No. S.R.O. 255(l)/96, dat ed 8-4-1996 for Islamabad only]."
"Give a brief explanation of Section 43 of Chapter IV in Code of Criminal Procedure, 1898 (Aid to person, other than police officer, executing warrant).","When a warrant is directed to a person other than a police officer, any other per son may aid in the execution of such warrant if the person to whom t he warrant is directed be hear at hand and acting In the execution of the warrant."
"Can you explain Section 44 of Chapter IV of Code of Criminal Procedure, 1898 (Public to give information of certain offences)?","(1) Every person, aware of the commission of or of [the intention of any other person to commit any offence punishable under any of the following sections of the Pakistan Penal Code, namely, 121,121-A, 122. 123.123-A. 124,124-A, 125, 126, 130, 143, 144, 145, 147, 148, 153-A, 161, 162, 163, 164, 165. 168, 170, 231, 232, 255, 302, 303, 304, 304,304-A, 364-A, 382, 392, 393, 394, 395, 396, 397, 398, 399, 402. 435, 436, 449, 450, 456, 457, 458, 459, 460 and 489-A, shall, in the absence of reasonable excuse, the burden of proving which shall lie upon the person so aware, forthwith give information to the nearest Magistrate [Justice of the Peace] or police officer of such commission or intention. Words subs- by Law Reforms Ordinance (XII of 1972). Words inserted by Item No. 22 (//) of Punjab Notification No. SO (J-ll) 1-8/75 (P.V.), dated 21-3-1996 for Punjab and by same Item No of Islamabad Notification No. S.R.O. 255"
"What does Section 45 of Code of Criminal Procedure, 1898 (Village Headman, accountant, landholders and others bound to report certain matters) deal with?","(1) Every village headman, village accountant,; village watch man, village police officer, owner or occupier of land, and the agent of any such owner or occupier incharge of the management of that land and every officer employed in the-collection of revenue or rent of land on he part of the Government or the Court of Wards, shall forthwith communicate to the nearest Magistrate, {Justice of the Peace} or to the officer incharge of the nearest police station whichever is the nearer, any information which may possess respecting- (a) the permanent or temporary residence of any notorious receiver or vendor of stolen property in any village of which he is headman, accountant, watch man or police-officer or in which, he owns or occupies land, or is agent, or collects revenue or rent; (b) the resort to any place within or the passage through such village of any person on whom he knows or reasonably suspect to be a thug, robber, escaped convict or proclaimed offender; (c) the commission of or intention to commit, in or near such village any non-boilable offence or any offence punishable under Sections 143, 144, 145, 147 or 148 of the Pakistan Penal Code ; (d) the occurrence in or near such village of any sudden or unnatural death or of any death under suspicious circumstances; or the discovery in or near such-village of any corpse or part of a corpse. In circumstances which read to a reasonable suspicion that such a death has occurred or the disappearance from such village of any person in circumstances which lead to a reasonable suspicion that a non-bailable offence has been committed in respect of such person; (e) the commission of or intention to commit, at any place out of Pakistan near such village any act which, if committed in Pakistan, would be an offence punishable under any of the following sections of the Pakistan Penal Code namely 231, 232, 233, 234. 235, 236, 237, 237, 238,302, 304, 382, 392, 393, 394, 395, 396, 397, 398, 399, 402. 435, 436, 449, 450, 456, 457, 458, 459, 460 and 489-A, shall, in the absence of reasonable excuse, the burden of proving which shall lie upon the person so aware, forthwith give information to the n earest Magistrate [Justice of the Peace] or police officer of such commission or intention. Words subs- by Law Reforms Ordinance (XII of 1972). Words inserted by Item No . 22 (//) of Punjab Notification No. SO (J-ll) 1-8/75 (P.V.), dated 21-3-1996 for Punjab and by same Item No of Islamabad Noti fication No. S.R.O. 255<1)/96, dat ed 8-4-1996 for Islamabad only. (2) For the purposes of this section the term ""offence"" includes any act committed at any place out of Pakistan which would Constitu te an offence if committed in Pakistan. 45- Village Headman, accountant, landhol ders and others bound to report certain matters: (1) Every village headman, village acc ountant,; village watch man, village police officer, owner or occupier of land, and the agent of any such owner or occupier incharge of the management of that land and every office r employed in the-collection of revenue or rent of land on he part of t he Government or the Court of Wards, shall forthwith communicate to the nearest Magistrate, {Justice of the Peace} or to the officer incharge of the nearest police station whichever is t he nearer, any informa tion which may possess respecting- (a) the permanent or temporary residence of any notorious receiver or vendor of stolen property in any village of whic h he is headman, accountant, watc h man or police-officer or in which, he owns or occupies land, or is agent, or collects revenue or rent; (b) the resort to any place within or t he passage through such village of any person on whom he knows or reasonably suspect"
"Can you explain Section 46 of Chapter V of Code of Criminal Procedure, 1898 (Arrest how made)?","(1) In making an arrest the polic e officer or other person making the same shall actually touch or confine the body of the person to be arrested, unless there, be a submission to the custody by word or action. (2) Restating endeavour to arrest: If such person forcibly resi sts the 'endeavour to arrest him, or attempts to evade t he arrest, such police officer or other-person may use all means necessary to effect the arrest. (3) Nothing in this section gi ves a right to cause the death of a person who is not accused of an offence punishable with death or with [imprisonment for life]. Words subs, by Criminal Procedure (Amendment) Act, XXV of 1974"
"Please explain Section 47 of Chapter V of Code of Criminal Procedure, 1898 (Search of place entered by person sought to be arrested).","If any person acting under a warrant of arrest, or any police-officer having author ity to arrest, has reason to believe that the person to be arrested has enter ed into, or is within any place, the person residing in, or being in charge of such plac e shall, on demand of such parson acting as aforesaid or such police-officer, allow him free ingress thereto, and afford all reasonable facilities for a search therein."
"What is stated in Section 48 of Chapter V of Code of Criminal Procedure, 1899 (Procedure where ingress not obtainable)?","If ingress to such place cannot be obtained under Section 47 it s hall be lawful in any case for a person acting under a warrant and in any case in which a warrant may issue, but c annot be obtained without affording the person to be arrested an bpportunity of escape, for a police officer to enter such place and search therein; and in order to effect an entrance into such place, to break, open any outer or inner or window of any house or pl ace, whether that of the person to be arrested or of any other person, if after notification of his authority and purpose, and demand of admittance duly made, he can not otherwise obtain admittance. Breaking open zenana: Provided that, if any such place is an apartment in the actual occupancy of a woman (not being the person to be arrested) who, a ccording to custom, does not appear in public such person or po lice-officer shall, before entering such apartment notice to such woman that she is at liberty to withdraw and shall afford her every reasonable facility for withdrawing, and may then break open the apartment and enter it"
"Give a brief explanation of Section 49 of Chapter V in Code of Criminal Procedure, 1900 (Power to break open doors and windows for purposes of liberation).","Any police officer or other person authorized to make an arrest may break open any outer or inner door or window of any house or place in order to liberate himself or any other person who, having lawfully entered for the purpose of making an arrest, is detained therein."
"Please explain Section 50 of Chapter V of Code of Criminal Procedure, 1898 (No unnecessary restraint).",The person arrested shall not be subjected to more restraint than is necessary to prevent his escape.
"Please explain Section 51 of Chapter V of Code of Criminal Procedure, 1899 (Search of arrested persons).","Whenever a person is arrested by a police-officer under-a warrant which does not provide for t he taking of bail or under a warrant, which provides for the taking of bail but the person arrested cannot furnish bail, and whenever a person is arrested without warran t, or by a private person under a warrant, and cannot legally be admitted to bail, or is unable to furnish bail. The officer making the arrest or, when the arrest is made by a private person, the police officer to whom he makes over the person a rrested, may search such person and place in safe custody all articles, other than necessary wearing apparel, found upon him."
"What is stated in Section 52 of Chapter V of Code of Criminal Procedure, 1898 (Mode of searching women)?","Whenever it is necessary to cause a woman to be searched, the search shall be made by another woman, with strict r egard to decency."
"Give a brief explanation of Section 53 of Chapter V in Code of Criminal Procedure, 1898 (Power to seize offensive weapons).","The officer, or other person making any arrest under Code may take from the person arre sted any offensive weapons which he has about his person, and shall deliver all weapons so taken to the Cour t or officer before which or whom the officer or person making t he arrest is required by this Code to produce the person arrested. B.Arrest without Warrant"
